#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
7ap9i5k45pht3nq7ap95qrivy5ofplmm,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,1,1,13,2020-06-04 18:20:44,,2020-06-04 18:23:27,c4fb69fc31
htxmmyedm1z351dhtxmm3jt78mw37uqp,Bottle bank,1,2,2,Battery bank,1,1,1,2,2,1,2,2,2,1,12,2020-06-04 18:20:21,,2020-06-04 18:22:40,c49903953f
ptc8mhkb5zt4vo34r5789tfkptc8mhkd,Bottle bank,1,1,2,Battery bank,1,2,2,2,2,1,2,1,1,1,11,2020-06-04 18:20:58,,2020-06-04 18:22:32,8df34f6917
y0582ci1m0939z6nw4y0582ci1vntjy0,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:20:23,,2020-06-04 18:22:31,13843289a1
hpl8oiqolicxnni5ahpl8obpyd5quvfq,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,1,1,2,1,13,2020-06-04 18:20:48,,2020-06-04 18:22:22,6a57446c51
c0kra98wk6li2s9xc0krcvslqkwuzkac,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:21:04,,2020-06-04 18:22:21,45c5d1395d
rk3173tyiuh6xx9ckrk3173axpkn47i1,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,1,2,1,13,2020-06-04 18:18:08,,2020-06-04 18:21:19,37afc1f082
kjrys4lijbgpk4pkq4kjrys4lflvulx4,Bottle bank,1,2,2,Battery bank,2,2,1,1,2,1,1,1,2,1,11,2020-06-04 18:18:19,,2020-06-04 18:20:25,8e7febfede
prjnwnipl6fgoubaji1prjno531e3zhv,Bottle bank,1,2,2,Battery bank,2,1,1,2,2,1,1,1,2,1,11,2020-06-04 18:18:36,,2020-06-04 18:20:08,bf49c5e72e
oiemd16q9waw4o7lnnoiemd1yabar82y,Bottle bank,1,1,2,Battery bank,1,2,1,2,2,1,2,1,2,1,13,2020-06-04 18:17:58,,2020-06-04 18:19:45,7536750314
viufn1l295o6qxw4teviufn1laikpy6u,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:18:00,,2020-06-04 18:19:41,43afc64c9f
bu8br0xmgvpjrpx26zsmzbu8bicgq6e1,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-06-04 18:17:54,,2020-06-04 18:19:34,36e29fbb7d
rd2i2fipztdm5xgrd2enxyvhusolewfd,Bottle bank,1,1,2,Battery bank,1,1,1,2,1,1,1,1,2,1,12,2020-06-04 18:17:00,,2020-06-04 18:19:19,c49903953f
3sjx3h2nil21opf99p3sjx3h2zrf1c1a,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,1,1,1,12,2020-06-04 18:16:53,,2020-06-04 18:19:19,cb9658f053
wf797g7zfeg2zt0ouyeukwf797g7a1bf,Bottle bank,1,1,1,Battery bank,1,2,1,1,2,1,1,1,2,1,12,2020-06-04 18:17:12,,2020-06-04 18:19:13,c49903953f
of8ixnxe57gvq55ixpt5r97a5of8ixnx,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,1,1,2,1,14,2020-06-04 18:16:47,,2020-06-04 18:18:58,0dfbb14c6d
2sv9ip2db2t1hnhh9l9o2sv9ip2ljzpg,Bottle bank,1,1,1,Battery bank,1,1,1,2,2,1,1,1,2,1,12,2020-06-04 18:15:43,,2020-06-04 18:18:34,805ebc94e0
e63rk8c9hyxc90etxabbke63rk8cr36j,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:16:36,,2020-06-04 18:18:32,b6b2ee1e9e
w0anc6qqdwvr3qrhpw0anc61ryx8xz70,Bottle bank,1,2,2,Battery bank,1,1,1,2,2,1,2,1,2,1,13,2020-06-04 18:16:27,,2020-06-04 18:18:20,fd9511ce9b
awpd3gz2ya0nylldnsawpds9fn37z55z,Bottle bank,1,1,2,Battery bank,1,1,2,1,1,1,1,1,2,1,12,2020-06-04 18:15:18,,2020-06-04 18:17:27,786373261
w8xnck68ii9fq3mw3gw8xnctwl8rzrt6,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:14:55,,2020-06-04 18:17:01,d3a50989ab
p6pcxqzd9kakii5eaw0w36p6pcxqzds1,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:13:01,,2020-06-04 18:16:42,386b0d85cc
r9yl8kl81flfnjcenpr9yl8kk89uzdpd,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-06-04 18:13:56,,2020-06-04 18:16:40,f4a59df230
fbj42n4q6yi6gz7fz5fbj42ksc8e3lty,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-06-04 18:14:04,,2020-06-04 18:16:32,ff2f152656
